"searchtext", "expectedresult"
#STANDARD ADDRESS SEARCHES#
	"24 HIGH BEECHES ORPINGTON", "24 HIGH BEECHES, ORPINGTON, BR6 6EF"
	"24, HIGH BEECHES, ORPINGTON", "24 HIGH BEECHES, ORPINGTON, BR6 6EF"
	"171 GLENVILLE GROVE","171 GLENVILLE GROVE, LONDON, SE8 4BJ"
	"74 Roe Lane, Queensbury, NW9","74 ROE LANE LONDON NW9 9BD"
	"36 Kennington Lane, Kennington","36 KENNINGTON LANE LONDON SE11"
	"PROPERTY HIGH BEECHES CHELSFIELD", "HIGH BEECHES, ORPINGTON, BR6"
	"Leckford Road, SW18", "LECKFORD ROAD, LONDON, SW18"
#ALIAS TESTS (st,rd,cl,dr,av)
	"13 aragon dr barkingside","13 ARAGON DRIVE, ILFORD, IG6"
	"SIDCUP HIGH ST","SIDCUP HIGH STREET SIDCUP"
	"22 Stonehall Av", "22 STONEHALL AVENUE, ILFORD, IG1"
	"20 Haymill Cl, UB6", "20 HAYMILL CLOSE PERIVALE UB6"
	"169 glenville gro","169 GLENVILLE GROVE, LONDON, SE8 4BJ"
#FILTERED SEARCH#
	"POI deer park charlton","DEER PARK, CHARLTON"
	"AREA GREENWICH","GREENWICH"
#PARTIAL ADDRESSES#
	"Broken Wharf House", "BROKEN WHARF HOUSE"
	"109 Knightsbridge SW1", "109-125 KNIGHTSBRIDGE LONDON SW1X"
	"25 Gordon Ave, RM12", "25 GORDON AVENUE, HORNCHURCH, RM12 4EB"
#POSTCODE, INCLUDING PARTIAL DISTRICT#
	"BR6 6EF","HIGH BEECHES ORPINGTON BR6 6EF"
	"ANDREWS HOUSE EC2","ANDREWES HOUSE ANDREWES HIGHWALK BARBICAN LONDON EC2Y 8AY"
	"SE11 5DP", "EDINBURGH HOUSE, 160, KENNINGTON LANE, LONDON, SE11 5DP"
	"SW1P 1BT", "ROCHESTER ROW, LONDON, SW1P 1BT"
#POSTCODE WITH PROPERTY NUMBER#
	"29, E12 6JS", "29 REYNOLDS AVENUE, LONDON, E12 6JS"
	"13, HA3 7NX", "13 SANCROFT ROAD, HARROW, HA3 7NX"
#FLAT NUMBERS#
	"Flat 2 Edensmuir Ct, SE3", "FLAT 2, EDENSMUIR COURT, STRATHEDEN ROAD, BLACKHEATH, SE3 7SZ"
	"FLAT 61J E4 6QW","FLAT J 61 THE RIDGEWAY CHINGFORD E4 6QW"
	"Flat 47, Arthur Bliss Court, Mitcham", "FLAT 47, SIR ARTHUR BLISS COURT, 210 LONDON ROAD, MITCHAM, CR4 3TA"
#FLAT NUMBER AND PROPERTY NUMBER SEPARATED BY COMMA - CHECK NOT TREATED AS COORDINATE#
	"flat 21, 180 woodcote road sm6","FLAT 21 180 WOODCOTE ROAD WALLINGTON SM6 0PE"
#NAMED PROPERTES#
	"Walnut Tree Cottage, Sidcup", "WALNUT TREE COTTAGE, 164, SIDCUP HILL, SIDCUP, DA14 6JW"
	"Stud Grooms Cottage, SE9", "STUD GROOMS COTTAGE, BEXLEY ROAD"
	"Farmhouse, Crayford", "BARNES CRAY FARMHOUSE, MAIDEN LANE, CRAYFORD, DARTFORD, DA1 4LX"
#PLACES OF INTEREST#
	"QUEEN VICTORIA MEMORIAL","QUEEN VICTORIA MEMORIAL, CITY OF WESTMINSTER"
	"TRAFALGAR SQUARE","TRAFALGAR SQUARE, STRAND"
	"Eltham Crematorium, Eltham","ELTHAM CREMATORIUM, ELTHAM CEMETERY, CROWN WOODS WAY, ELTHAM, SE9 2AZ"
	"Footscray Rugby Club","FOOTSCRAY RUGBY SPORTS"
